id,purchase_order_id,product_id,requested_quantity,received_quantity,unit_price,created_at,updated_at
54,54,14,375.0,375.0,12.51,2025-08-19T00:00:00+00:00,2025-08-27T00:00:00+00:00
55,55,68,150.0,150.0,107.6,2025-08-20T00:00:00+00:00,2025-08-29T00:00:00+00:00
56,56,7,480.0,480.0,81.83,2025-08-20T00:00:00+00:00,2025-08-23T00:00:00+00:00
57,57,43,225.0,225.0,102.95,2025-08-20T00:00:00+00:00,2025-08-27T00:00:00+00:00
58,58,62,75.0,75.0,23.84,2025-08-20T00:00:00+00:00,2025-08-28T00:00:00+00:00
59,59,18,210.0,210.0,129.85,2025-08-20T00:00:00+00:00,2025-08-23T00:00:00+00:00
60,60,61,90.0,90.0,69.4,2025-08-21T00:00:00+00:00,2025-08-29T00:00:00+00:00
61,61,99,375.0,375.0,42.92,2025-08-21T00:00:00+00:00,2025-08-31T00:00:00+00:00
62,62,91,90.0,90.0,58.09,2025-08-21T00:00:00+00:00,2025-08-29T00:00:00+00:00
63,63,27,180.0,180.0,9.42,2025-08-21T00:00:00+00:00,2025-08-28T00:00:00+00:00
64,64,16,120.0,120.0,109.06,2025-08-22T00:00:00+00:00,2025-09-01T00:00:00+00:00
65,65,59,750.0,750.0,95.68,2025-08-22T00:00:00+00:00,2025-08-31T00:00:00+00:00
66,66,17,750.0,750.0,30.18,2025-08-22T00:00:00+00:00,2025-08-28T00:00:00+00:00
67,67,73,30.0,30.0,112.63,2025-08-22T00:00:00+00:00,2025-08-30T00:00:00+00:00
68,68,30,600.0,600.0,85.65,2025-08-22T00:00:00+00:00,2025-08-25T00:00:00+00:00
69,69,44,450.0,450.0,139.01,2025-08-23T00:00:00+00:00,2025-08-31T00:00:00+00:00
70,70,19,420.0,420.0,52.22,2025-08-23T00:00:00+00:00,2025-08-27T00:00:00+00:00
71,71,94,330.0,330.0,104.21,2025-08-23T00:00:00+00:00,2025-08-31T00:00:00+00:00
72,72,56,300.0,300.0,62.1,2025-08-23T00:00:00+00:00,2025-08-31T00:00:00+00:00
73,73,69,180.0,180.0,22.48,2025-08-23T00:00:00+00:00,2025-08-30T00:00:00+00:00
74,74,35,225.0,225.0,3.16,2025-08-24T00:00:00+00:00,2025-09-01T00:00:00+00:00
75,75,41,375.0,375.0,82.75,2025-08-24T00:00:00+00:00,2025-08-28T00:00:00+00:00
76,76,86,60.0,60.0,99.91,2025-08-25T00:00:00+00:00,2025-08-29T00:00:00+00:00
77,77,82,2700.0,2700.0,115.5,2025-08-25T00:00:00+00:00,2025-09-02T00:00:00+00:00
78,78,33,1050.0,1050.0,76.87,2025-08-25T00:00:00+00:00,2025-08-29T00:00:00+00:00
79,79,47,1350.0,1350.0,34.92,2025-08-26T00:00:00+00:00,2025-08-29T00:00:00+00:00
80,80,63,60.0,60.0,28.03,2025-08-26T00:00:00+00:00,2025-09-01T00:00:00+00:00
81,81,96,45.0,45.0,72.04,2025-08-26T00:00:00+00:00,2025-08-30T00:00:00+00:00
82,82,87,60.0,60.0,17.62,2025-08-27T00:00:00+00:00,2025-08-31T00:00:00+00:00
83,83,25,900.0,900.0,149.32,2025-08-27T00:00:00+00:00,2025-08-30T00:00:00+00:00
84,84,28,225.0,225.0,128.0,2025-08-27T00:00:00+00:00,2025-08-31T00:00:00+00:00
85,85,76,210.0,210.0,6.01,2025-08-27T00:00:00+00:00,2025-09-04T00:00:00+00:00
86,86,46,270.0,270.0,121.99,2025-08-27T00:00:00+00:00,2025-09-02T00:00:00+00:00
87,87,4,600.0,600.0,102.89,2025-08-28T00:00:00+00:00,2025-09-01T00:00:00+00:00
88,88,2,450.0,450.0,24.62,2025-08-28T00:00:00+00:00,2025-09-03T00:00:00+00:00
89,89,48,225.0,225.0,5.5,2025-08-28T00:00:00+00:00,2025-09-06T00:00:00+00:00
90,90,3,375.0,375.0,58.48,2025-08-28T00:00:00+00:00,2025-09-05T00:00:00+00:00
91,91,12,270.0,270.0,149.28,2025-08-28T00:00:00+00:00,2025-09-04T00:00:00+00:00
92,92,84,180.0,180.0,13.25,2025-08-28T00:00:00+00:00,2025-08-31T00:00:00+00:00
93,93,70,225.0,225.0,63.4,2025-08-28T00:00:00+00:00,2025-09-04T00:00:00+00:00
94,94,92,30.0,30.0,54.51,2025-08-28T00:00:00+00:00,2025-08-31T00:00:00+00:00
95,95,49,330.0,330.0,53.97,2025-08-29T00:00:00+00:00,2025-09-06T00:00:00+00:00
96,96,20,150.0,150.0,22.75,2025-08-29T00:00:00+00:00,2025-09-08T00:00:00+00:00
97,97,11,330.0,330.0,64.62,2025-08-29T00:00:00+00:00,2025-09-07T00:00:00+00:00
98,98,9,300.0,300.0,131.95,2025-08-29T00:00:00+00:00,2025-09-08T00:00:00+00:00
99,99,72,45.0,45.0,72.59,2025-08-29T00:00:00+00:00,2025-09-06T00:00:00+00:00
100,100,29,120.0,120.0,38.44,2025-08-29T00:00:00+00:00,2025-09-01T00:00:00+00:00
101,101,51,75.0,75.0,66.59,2025-08-29T00:00:00+00:00,2025-09-02T00:00:00+00:00
102,102,42,300.0,300.0,47.62,2025-08-30T00:00:00+00:00,2025-09-02T00:00:00+00:00
103,103,21,1800.0,1800.0,121.59,2025-08-30T00:00:00+00:00,2025-09-07T00:00:00+00:00
104,104,50,525.0,525.0,28.43,2025-08-30T00:00:00+00:00,2025-09-03T00:00:00+00:00
105,105,37,270.0,270.0,33.17,2025-08-30T00:00:00+00:00,2025-09-08T00:00:00+00:00
106,106,75,150.0,150.0,138.09,2025-08-31T00:00:00+00:00,2025-09-07T00:00:00+00:00
107,107,15,300.0,300.0,12.49,2025-08-31T00:00:00+00:00,2025-09-07T00:00:00+00:00
108,108,67,120.0,120.0,115.34,2025-08-31T00:00:00+00:00,2025-09-08T00:00:00+00:00
109,109,22,2250.0,2250.0,145.41,2025-08-31T00:00:00+00:00,2025-09-04T00:00:00+00:00
110,110,95,225.0,225.0,45.55,2025-08-31T00:00:00+00:00,2025-09-06T00:00:00+00:00
111,111,81,3000.0,3000.0,20.68,2025-08-31T00:00:00+00:00,2025-09-08T00:00:00+00:00
112,112,1,675.0,675.0,55.58,2025-08-31T00:00:00+00:00,2025-09-03T00:00:00+00:00
113,113,24,750.0,750.0,41.25,2025-08-31T00:00:00+00:00,2025-09-03T00:00:00+00:00
114,114,26,450.0,450.0,34.22,2025-09-01T00:00:00+00:00,2025-09-04T00:00:00+00:00
115,115,52,120.0,120.0,66.54,2025-09-01T00:00:00+00:00,2025-09-10T00:00:00+00:00
116,116,39,900.0,900.0,2.52,2025-09-01T00:00:00+00:00,2025-09-09T00:00:00+00:00
117,117,40,600.0,600.0,83.65,2025-09-01T00:00:00+00:00,2025-09-04T00:00:00+00:00
118,118,80,150.0,150.0,113.63,2025-09-02T00:00:00+00:00,2025-09-08T00:00:00+00:00
119,119,13,180.0,180.0,11.48,2025-09-02T00:00:00+00:00,2025-09-06T00:00:00+00:00
120,120,10,450.0,450.0,115.34,2025-09-02T00:00:00+00:00,2025-09-10T00:00:00+00:00
121,121,85,75.0,75.0,127.84,2025-09-03T00:00:00+00:00,2025-09-07T00:00:00+00:00
122,122,79,90.0,90.0,81.83,2025-09-03T00:00:00+00:00,2025-09-11T00:00:00+00:00
123,123,83,1500.0,1500.0,18.0,2025-09-03T00:00:00+00:00,2025-09-09T00:00:00+00:00
124,124,97,30.0,30.0,42.1,2025-09-03T00:00:00+00:00,2025-09-07T00:00:00+00:00
125,125,77,225.0,225.0,58.11,2025-09-04T00:00:00+00:00,2025-09-07T00:00:00+00:00
126,126,5,525.0,525.0,25.41,2025-09-04T00:00:00+00:00,2025-09-08T00:00:00+00:00
127,127,31,675.0,675.0,37.33,2025-09-04T00:00:00+00:00,2025-09-08T00:00:00+00:00
128,128,98,75.0,75.0,81.31,2025-09-04T00:00:00+00:00,2025-09-08T00:00:00+00:00
129,129,58,600.0,600.0,72.03,2025-09-04T00:00:00+00:00,2025-09-08T00:00:00+00:00
130,130,88,120.0,120.0,28.07,2025-09-04T00:00:00+00:00,2025-09-11T00:00:00+00:00
131,131,34,375.0,375.0,44.18,2025-09-05T00:00:00+00:00,2025-09-12T00:00:00+00:00
132,132,36,300.0,300.0,19.08,2025-09-05T00:00:00+00:00,2025-09-12T00:00:00+00:00
133,133,71,375.0,375.0,59.64,2025-09-06T00:00:00+00:00,2025-09-10T00:00:00+00:00
134,134,32,270.0,270.0,3.38,2025-09-07T00:00:00+00:00,2025-09-15T00:00:00+00:00
135,135,93,30.0,30.0,142.31,2025-09-07T00:00:00+00:00,2025-09-14T00:00:00+00:00
136,136,54,75.0,75.0,47.77,2025-09-07T00:00:00+00:00,2025-09-14T00:00:00+00:00
137,137,6,420.0,420.0,137.07,2025-09-07T00:00:00+00:00,2025-09-14T00:00:00+00:00
138,138,78,180.0,180.0,113.3,2025-09-07T00:00:00+00:00,2025-09-13T00:00:00+00:00
139,139,45,420.0,420.0,28.55,2025-09-07T00:00:00+00:00,2025-09-14T00:00:00+00:00
140,140,38,1500.0,1500.0,135.99,2025-09-08T00:00:00+00:00,2025-09-15T00:00:00+00:00
141,141,57,150.0,150.0,91.79,2025-09-08T00:00:00+00:00,2025-09-18T00:00:00+00:00
142,142,99,375.0,375.0,42.92,2025-09-08T00:00:00+00:00,2025-09-18T00:00:00+00:00
143,143,7,480.0,480.0,81.83,2025-09-08T00:00:00+00:00,2025-09-11T00:00:00+00:00
144,144,14,375.0,375.0,12.51,2025-09-09T00:00:00+00:00,2025-09-17T00:00:00+00:00
145,145,65,60.0,60.0,122.62,2025-09-09T00:00:00+00:00,2025-09-15T00:00:00+00:00
146,146,90,45.0,45.0,43.28,2025-09-09T00:00:00+00:00,2025-09-13T00:00:00+00:00
147,147,8,225.0,225.0,4.88,2025-09-09T00:00:00+00:00,2025-09-17T00:00:00+00:00
148,148,89,450.0,450.0,70.8,2025-09-09T00:00:00+00:00,2025-09-17T00:00:00+00:00
149,149,18,210.0,210.0,129.85,2025-09-10T00:00:00+00:00,2025-09-13T00:00:00+00:00
150,150,27,180.0,180.0,9.42,2025-09-10T00:00:00+00:00,2025-09-17T00:00:00+00:00
151,151,64,75.0,75.0,69.56,2025-09-10T00:00:00+00:00,2025-09-17T00:00:00+00:00
152,152,43,225.0,225.0,102.95,2025-09-10T00:00:00+00:00,2025-09-17T00:00:00+00:00
153,153,61,90.0,90.0,69.4,2025-09-11T00:00:00+00:00,2025-09-19T00:00:00+00:00
154,154,66,45.0,45.0,129.5,2025-09-11T00:00:00+00:00,2025-09-18T00:00:00+00:00
155,155,23,1200.0,1200.0,33.63,2025-09-11T00:00:00+00:00,2025-09-14T00:00:00+00:00
156,156,62,75.0,75.0,23.84,2025-09-11T00:00:00+00:00,2025-09-19T00:00:00+00:00
157,157,41,375.0,375.0,82.75,2025-09-12T00:00:00+00:00,2025-09-16T00:00:00+00:00
158,158,69,180.0,180.0,22.48,2025-09-12T00:00:00+00:00,2025-09-19T00:00:00+00:00
159,159,33,1050.0,1050.0,76.87,2025-09-12T00:00:00+00:00,2025-09-16T00:00:00+00:00
160,160,53,90.0,90.0,142.43,2025-09-12T00:00:00+00:00,2025-09-16T00:00:00+00:00
161,161,82,2700.0,2700.0,115.5,2025-09-12T00:00:00+00:00,2025-09-20T00:00:00+00:00
162,162,86,60.0,60.0,99.91,2025-09-13T00:00:00+00:00,2025-09-17T00:00:00+00:00
163,163,51,75.0,75.0,66.59,2025-09-13T00:00:00+00:00,2025-09-17T00:00:00+00:00
164,164,60,60.0,60.0,121.37,2025-09-13T00:00:00+00:00,2025-09-17T00:00:00+00:00
165,165,68,150.0,150.0,107.6,2025-09-13T00:00:00+00:00,2025-09-22T00:00:00+00:00
166,166,30,600.0,600.0,85.65,2025-09-14T00:00:00+00:00,2025-09-17T00:00:00+00:00
167,167,46,270.0,270.0,121.99,2025-09-15T00:00:00+00:00,2025-09-21T00:00:00+00:00
168,168,56,300.0,300.0,62.1,2025-09-15T00:00:00+00:00,2025-09-23T00:00:00+00:00
169,169,17,750.0,750.0,30.18,2025-09-15T00:00:00+00:00,2025-09-21T00:00:00+00:00
170,170,55,210.0,210.0,64.23,2025-09-16T00:00:00+00:00,2025-09-23T00:00:00+00:00
171,171,47,1350.0,1350.0,34.92,2025-09-16T00:00:00+00:00,2025-09-19T00:00:00+00:00
172,172,100,30.0,30.0,35.67,2025-09-16T00:00:00+00:00,2025-09-20T00:00:00+00:00
173,173,16,120.0,120.0,109.06,2025-09-17T00:00:00+00:00,2025-09-27T00:00:00+00:00
174,174,25,900.0,900.0,149.32,2025-09-17T00:00:00+00:00,2025-09-20T00:00:00+00:00
175,175,91,90.0,90.0,58.09,2025-09-17T00:00:00+00:00,2025-09-25T00:00:00+00:00
176,176,29,120.0,120.0,38.44,2025-09-17T00:00:00+00:00,2025-09-20T00:00:00+00:00
177,177,94,330.0,330.0,104.21,2025-09-17T00:00:00+00:00,2025-09-25T00:00:00+00:00
178,178,9,300.0,300.0,131.95,2025-09-18T00:00:00+00:00,2025-09-28T00:00:00+00:00
179,179,19,420.0,420.0,52.22,2025-09-18T00:00:00+00:00,2025-09-22T00:00:00+00:00
180,180,48,225.0,225.0,5.5,2025-09-18T00:00:00+00:00,2025-09-27T00:00:00+00:00
181,181,49,330.0,330.0,53.97,2025-09-18T00:00:00+00:00,2025-09-26T00:00:00+00:00
182,182,76,210.0,210.0,6.01,2025-09-18T00:00:00+00:00,2025-09-26T00:00:00+00:00
183,183,74,30.0,30.0,66.5,2025-09-18T00:00:00+00:00,2025-09-26T00:00:00+00:00
184,184,63,60.0,60.0,28.03,2025-09-19T00:00:00+00:00,2025-09-25T00:00:00+00:00
185,185,11,330.0,330.0,64.62,2025-09-19T00:00:00+00:00,2025-09-28T00:00:00+00:00
186,186,15,300.0,300.0,12.49,2025-09-19T00:00:00+00:00,2025-09-26T00:00:00+00:00
187,187,2,450.0,450.0,24.62,2025-09-19T00:00:00+00:00,2025-09-25T00:00:00+00:00
188,188,44,450.0,450.0,139.01,2025-09-19T00:00:00+00:00,2025-09-27T00:00:00+00:00
189,189,59,750.0,750.0,95.68,2025-09-19T00:00:00+00:00,2025-09-28T00:00:00+00:00
190,190,28,225.0,225.0,128.0,2025-09-19T00:00:00+00:00,2025-09-23T00:00:00+00:00
191,191,84,180.0,180.0,13.25,2025-09-20T00:00:00+00:00,2025-09-23T00:00:00+00:00
192,192,26,450.0,450.0,34.22,2025-09-20T00:00:00+00:00,2025-09-23T00:00:00+00:00
193,193,42,300.0,300.0,47.62,2025-09-20T00:00:00+00:00,2025-09-23T00:00:00+00:00
194,194,96,45.0,45.0,72.04,2025-09-20T00:00:00+00:00,2025-09-24T00:00:00+00:00
195,195,12,270.0,270.0,149.28,2025-09-20T00:00:00+00:00,2025-09-27T00:00:00+00:00
196,196,40,600.0,600.0,83.65,2025-09-20T00:00:00+00:00,2025-09-23T00:00:00+00:00
197,197,70,225.0,225.0,63.4,2025-09-21T00:00:00+00:00,2025-09-28T00:00:00+00:00
198,198,21,1800.0,1800.0,121.59,2025-09-21T00:00:00+00:00,2025-09-29T00:00:00+00:00
199,199,95,225.0,225.0,45.55,2025-09-21T00:00:00+00:00,2025-09-27T00:00:00+00:00
200,200,1,675.0,675.0,55.58,2025-09-21T00:00:00+00:00,2025-09-24T00:00:00+00:00
201,201,10,450.0,450.0,115.34,2025-09-21T00:00:00+00:00,2025-09-29T00:00:00+00:00
202,202,80,150.0,150.0,113.63,2025-09-21T00:00:00+00:00,2025-09-27T00:00:00+00:00
203,203,35,225.0,225.0,3.16,2025-09-21T00:00:00+00:00,2025-09-29T00:00:00+00:00
204,204,37,270.0,270.0,33.17,2025-09-22T00:00:00+00:00,2025-10-01T00:00:00+00:00
205,205,4,600.0,600.0,102.89,2025-09-22T00:00:00+00:00,2025-09-26T00:00:00+00:00
206,206,72,45.0,45.0,72.59,2025-09-22T00:00:00+00:00,2025-09-30T00:00:00+00:00
207,207,39,900.0,900.0,2.52,2025-09-22T00:00:00+00:00,2025-09-30T00:00:00+00:00
208,208,50,525.0,525.0,28.43,2025-09-22T00:00:00+00:00,2025-09-26T00:00:00+00:00
209,209,22,2250.0,2250.0,145.41,2025-09-23T00:00:00+00:00,2025-09-27T00:00:00+00:00
210,210,20,150.0,150.0,22.75,2025-09-23T00:00:00+00:00,2025-10-03T00:00:00+00:00
211,211,87,60.0,60.0,17.62,2025-09-23T00:00:00+00:00,2025-09-27T00:00:00+00:00
212,212,34,375.0,375.0,44.18,2025-09-23T00:00:00+00:00,2025-09-30T00:00:00+00:00
213,213,67,120.0,120.0,115.34,2025-09-23T00:00:00+00:00,2025-10-01T00:00:00+00:00
214,214,79,90.0,90.0,81.83,2025-09-23T00:00:00+00:00,2025-10-01T00:00:00+00:00
215,215,81,3000.0,3000.0,20.68,2025-09-23T00:00:00+00:00,2025-10-01T00:00:00+00:00
216,216,83,1500.0,1500.0,18.0,2025-09-23T00:00:00+00:00,2025-09-29T00:00:00+00:00
217,217,13,180.0,180.0,11.48,2025-09-23T00:00:00+00:00,2025-09-27T00:00:00+00:00
218,218,52,120.0,120.0,66.54,2025-09-24T00:00:00+00:00,2025-10-03T00:00:00+00:00
219,219,31,675.0,675.0,37.33,2025-09-24T00:00:00+00:00,2025-09-28T00:00:00+00:00
220,220,73,30.0,30.0,112.63,2025-09-24T00:00:00+00:00,2025-10-02T00:00:00+00:00
221,221,24,750.0,750.0,41.25,2025-09-24T00:00:00+00:00,2025-09-27T00:00:00+00:00
222,222,32,270.0,270.0,3.38,2025-09-24T00:00:00+00:00,2025-10-02T00:00:00+00:00
223,223,36,300.0,300.0,19.08,2025-09-25T00:00:00+00:00,2025-10-02T00:00:00+00:00
224,224,58,600.0,600.0,72.03,2025-09-25T00:00:00+00:00,2025-09-29T00:00:00+00:00
225,225,71,375.0,375.0,59.64,2025-09-26T00:00:00+00:00,2025-09-30T00:00:00+00:00
226,226,77,225.0,225.0,58.11,2025-09-26T00:00:00+00:00,2025-09-29T00:00:00+00:00
227,227,6,420.0,420.0,137.07,2025-09-26T00:00:00+00:00,2025-10-03T00:00:00+00:00
228,228,3,375.0,375.0,58.48,2025-09-26T00:00:00+00:00,2025-10-04T00:00:00+00:00
229,229,85,75.0,75.0,127.84,2025-09-27T00:00:00+00:00,2025-10-01T00:00:00+00:00
230,230,88,120.0,120.0,28.07,2025-09-28T00:00:00+00:00,2025-10-05T00:00:00+00:00
231,231,78,180.0,180.0,113.3,2025-09-28T00:00:00+00:00,2025-10-04T00:00:00+00:00
232,232,14,375.0,375.0,12.51,2025-09-28T00:00:00+00:00,2025-10-06T00:00:00+00:00
233,233,41,375.0,375.0,82.75,2025-09-28T00:00:00+00:00,2025-10-02T00:00:00+00:00
234,234,23,1200.0,1200.0,33.63,2025-09-29T00:00:00+00:00,2025-10-02T00:00:00+00:00
235,235,92,30.0,30.0,54.51,2025-09-29T00:00:00+00:00,2025-10-02T00:00:00+00:00
236,236,99,375.0,375.0,42.92,2025-09-29T00:00:00+00:00,2025-10-09T00:00:00+00:00
237,237,69,180.0,180.0,22.48,2025-09-29T00:00:00+00:00,2025-10-06T00:00:00+00:00
238,238,5,525.0,525.0,25.41,2025-09-29T00:00:00+00:00,2025-10-03T00:00:00+00:00
239,239,90,45.0,45.0,43.28,2025-09-30T00:00:00+00:00,2025-10-04T00:00:00+00:00
240,240,61,90.0,90.0,69.4,2025-09-30T00:00:00+00:00,2025-10-08T00:00:00+00:00
241,241,43,225.0,225.0,102.95,2025-09-30T00:00:00+00:00,2025-10-07T00:00:00+00:00
242,242,89,450.0,450.0,70.8,2025-09-30T00:00:00+00:00,2025-10-08T00:00:00+00:00
243,243,98,75.0,75.0,81.31,2025-09-30T00:00:00+00:00,2025-10-04T00:00:00+00:00
244,244,45,420.0,420.0,28.55,2025-10-01T00:00:00+00:00,2025-10-08T00:00:00+00:00
245,245,27,180.0,180.0,9.42,2025-10-01T00:00:00+00:00,2025-10-08T00:00:00+00:00
246,246,93,30.0,30.0,142.31,2025-10-01T00:00:00+00:00,2025-10-08T00:00:00+00:00
247,247,75,150.0,150.0,138.09,2025-10-01T00:00:00+00:00,2025-10-08T00:00:00+00:00
248,248,18,210.0,210.0,129.85,2025-10-01T00:00:00+00:00,2025-10-04T00:00:00+00:00
249,249,33,1050.0,1050.0,76.87,2025-10-01T00:00:00+00:00,2025-10-05T00:00:00+00:00
250,250,54,75.0,75.0,47.77,2025-10-01T00:00:00+00:00,2025-10-08T00:00:00+00:00
251,251,57,150.0,150.0,91.79,2025-10-02T00:00:00+00:00,2025-10-12T00:00:00+00:00
252,252,46,270.0,270.0,121.99,2025-10-02T00:00:00+00:00,2025-10-08T00:00:00+00:00
253,253,53,90.0,90.0,142.43,2025-10-03T00:00:00+00:00,2025-10-07T00:00:00+00:00
254,254,8,225.0,225.0,4.88,2025-10-03T00:00:00+00:00,2025-10-11T00:00:00+00:00
255,255,60,60.0,60.0,121.37,2025-10-04T00:00:00+00:00,2025-10-08T00:00:00+00:00
256,256,38,1500.0,1500.0,135.99,2025-10-04T00:00:00+00:00,2025-10-11T00:00:00+00:00
257,257,68,150.0,150.0,107.6,2025-10-04T00:00:00+00:00,2025-10-13T00:00:00+00:00
258,258,17,750.0,750.0,30.18,2025-10-04T00:00:00+00:00,2025-10-10T00:00:00+00:00
259,259,64,75.0,75.0,69.56,2025-10-04T00:00:00+00:00,2025-10-11T00:00:00+00:00
260,260,97,30.0,30.0,42.1,2025-10-04T00:00:00+00:00,2025-10-08T00:00:00+00:00
261,261,82,2700.0,2700.0,115.5,2025-10-06T00:00:00+00:00,2025-10-14T00:00:00+00:00
262,262,49,330.0,330.0,53.97,2025-10-06T00:00:00+00:00,2025-10-14T00:00:00+00:00
263,263,55,210.0,210.0,64.23,2025-10-06T00:00:00+00:00,2025-10-13T00:00:00+00:00
264,264,76,210.0,210.0,6.01,2025-10-07T00:00:00+00:00,2025-10-15T00:00:00+00:00
265,265,7,480.0,480.0,81.83,2025-10-07T00:00:00+00:00,2025-10-10T00:00:00+00:00
266,266,65,60.0,60.0,122.62,2025-10-07T00:00:00+00:00,2025-10-13T00:00:00+00:00
