id,supplier_id,product_id,unit_price,minimum_order_quantity,delivery_days,priority,emergency_available,created_at,updated_at
28,12,14,13.25,250.0,6,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
29,15,15,12.49,300.0,7,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
30,4,15,13.64,200.0,12,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
31,4,16,109.06,120.0,10,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
32,11,16,123.94,80.0,4,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
33,13,17,30.18,750.0,6,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
34,2,17,34.67,500.0,5,2,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
35,7,18,129.85,210.0,3,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
36,1,18,149.46,140.0,3,2,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
37,1,19,52.22,420.0,4,1,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
38,15,19,55.69,280.0,7,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
39,4,20,22.75,150.0,10,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
40,3,20,24.84,100.0,3,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
41,14,21,121.59,1800.0,8,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
42,15,21,137.71,1200.0,6,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
43,11,22,145.41,2250.0,4,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
44,14,22,171.19,1500.0,8,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
45,7,23,33.63,1200.0,3,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
46,8,23,39.86,800.0,8,2,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
47,7,24,41.25,750.0,3,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
48,14,24,48.17,500.0,9,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
49,7,25,149.32,900.0,3,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
50,10,25,171.61,600.0,10,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
51,3,26,34.22,450.0,3,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
52,1,26,38.9,300.0,3,2,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
53,12,27,9.42,180.0,7,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
54,8,27,10.6,120.0,8,2,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
55,1,28,128.0,225.0,4,1,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
56,3,28,145.82,150.0,3,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
57,7,29,38.44,120.0,3,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
58,11,29,40.59,80.0,3,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
59,7,30,85.65,600.0,3,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
60,6,30,101.94,400.0,4,2,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
61,11,31,37.33,675.0,4,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
62,7,31,39.93,450.0,4,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
63,8,32,3.38,270.0,8,1,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
64,11,32,4.06,180.0,3,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
65,2,33,76.87,1050.0,4,1,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
66,4,33,91.47,700.0,9,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
67,15,34,44.18,375.0,7,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
68,8,34,51.91,250.0,9,2,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
69,10,35,3.16,225.0,8,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
70,15,35,3.58,150.0,6,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
71,15,36,19.08,300.0,7,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
72,2,36,22.16,200.0,4,2,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
73,5,37,33.17,270.0,9,1,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
74,7,37,35.84,180.0,4,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
75,9,38,135.99,1500.0,7,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
76,15,38,143.83,1000.0,9,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
77,14,39,2.52,900.0,8,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
78,13,39,2.7,600.0,7,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
79,3,40,83.65,600.0,3,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
80,8,40,94.87,400.0,7,2,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
81,2,41,82.75,375.0,4,1,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
82,15,41,91.47,250.0,7,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
83,7,42,47.62,300.0,3,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
84,14,42,56.95,200.0,7,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
85,15,43,102.95,225.0,7,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
86,11,43,109.68,150.0,6,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
87,10,44,139.01,450.0,8,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
88,4,44,163.99,300.0,10,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
89,15,45,28.55,420.0,7,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
90,6,45,33.33,280.0,6,2,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
91,13,46,121.99,270.0,6,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
92,5,46,131.0,180.0,8,2,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
93,7,47,34.92,1350.0,3,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
94,15,47,41.48,900.0,8,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
95,5,48,5.5,225.0,9,1,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
96,4,48,6.1,150.0,11,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
97,14,49,53.97,330.0,8,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
98,9,49,59.9,220.0,8,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
99,1,50,28.43,525.0,4,1,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
100,6,50,30.01,350.0,6,2,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
101,6,51,66.59,75.0,4,1,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
102,10,51,71.07,50.0,8,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
103,5,52,66.54,120.0,9,1,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
104,10,52,79.11,80.0,8,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
105,6,53,142.43,90.0,4,1,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
106,7,53,162.86,60.0,3,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
107,12,54,47.77,75.0,7,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
108,7,54,52.5,50.0,4,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
109,9,55,64.23,210.0,7,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
110,7,55,73.97,140.0,3,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
111,10,56,62.1,300.0,8,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
112,15,56,65.21,200.0,8,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
113,4,57,91.79,150.0,10,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
114,7,57,102.78,100.0,5,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
115,11,58,72.03,600.0,4,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
116,14,58,83.58,400.0,7,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
117,5,59,95.68,750.0,9,1,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
118,7,59,101.8,500.0,3,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
119,11,60,121.37,60.0,4,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
120,3,60,127.88,40.0,3,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
121,8,61,69.4,90.0,8,1,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
122,12,61,78.86,60.0,9,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
123,8,62,23.84,75.0,8,1,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
124,13,62,25.05,50.0,5,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
125,13,63,28.03,60.0,6,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
126,12,63,31.61,40.0,6,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
127,9,64,69.56,75.0,7,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
128,14,64,77.89,50.0,9,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
129,13,65,122.62,60.0,6,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
130,9,65,136.6,40.0,9,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
131,15,66,129.5,45.0,7,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
132,8,66,141.01,30.0,8,2,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
133,14,67,115.34,120.0,8,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
134,9,67,129.49,80.0,7,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
135,5,68,107.6,150.0,9,1,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
136,4,68,117.37,100.0,11,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
137,15,69,22.48,180.0,7,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
138,4,69,24.9,120.0,10,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
139,12,70,63.4,225.0,7,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
140,6,70,71.73,150.0,6,2,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
141,1,71,59.64,375.0,4,1,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
142,14,71,67.85,250.0,7,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
143,14,72,72.59,45.0,8,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
144,6,72,79.47,30.0,6,2,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
145,14,73,112.63,30.0,8,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
146,9,73,131.77,20.0,7,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
147,8,74,66.5,30.0,8,1,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
148,1,74,73.7,20.0,6,2,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
149,12,75,138.09,150.0,7,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
150,10,75,156.06,100.0,10,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
151,10,76,6.01,210.0,8,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
152,12,76,6.7,140.0,9,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
153,3,77,58.11,225.0,3,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
154,5,77,64.98,150.0,10,2,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
155,13,78,113.3,180.0,6,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
156,15,78,126.13,120.0,6,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
157,8,79,81.83,90.0,8,1,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
158,6,79,88.67,60.0,3,2,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
159,13,80,113.63,150.0,6,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
160,4,80,122.71,100.0,9,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
161,10,81,20.68,3000.0,8,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
162,12,81,22.07,2000.0,7,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
163,8,82,115.5,2700.0,8,1,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
164,3,82,131.77,1800.0,3,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
165,13,83,18.0,1500.0,6,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
166,1,83,21.41,1000.0,6,2,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
167,7,84,13.25,180.0,3,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
168,13,84,15.56,120.0,6,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
169,2,85,127.84,75.0,4,1,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
170,11,85,149.68,50.0,3,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
171,6,86,99.91,60.0,4,1,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
172,2,86,112.49,40.0,5,2,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
173,1,87,17.62,60.0,4,1,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
174,7,87,20.18,40.0,5,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
175,12,88,28.07,120.0,7,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
176,9,88,33.54,80.0,8,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
177,10,89,70.8,450.0,8,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
178,15,89,82.1,300.0,8,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
179,6,90,43.28,45.0,4,1,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
180,9,90,47.03,30.0,9,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
181,10,91,58.09,90.0,8,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
182,1,91,65.3,60.0,5,2,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
183,3,92,54.51,30.0,3,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
184,6,92,60.02,20.0,5,2,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
185,9,93,142.31,30.0,7,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
186,2,93,154.58,20.0,6,2,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
187,8,94,104.21,330.0,8,1,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
188,12,94,120.55,220.0,9,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
189,13,95,45.55,225.0,6,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
190,7,95,52.55,150.0,4,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
191,11,96,72.04,45.0,4,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
192,9,96,79.36,30.0,8,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
193,6,97,42.1,30.0,4,1,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
194,5,97,45.66,20.0,9,2,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
195,6,98,81.31,75.0,4,1,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
196,14,98,93.79,50.0,8,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
197,4,99,42.92,375.0,10,1,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
198,11,99,51.35,250.0,5,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
199,2,100,35.67,30.0,4,1,false,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
200,4,100,39.07,20.0,10,2,true,2025-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00
